antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'PM2.5_HIGH'}),"frozenset({'PM10_HIGH', 'O3_HIGH'})",0.3513988376807677,0.2379037707798351,0.1370117583457224,0.38990384615384616,1.6389141074803624,1.0,0.053412649813816576,1.249141179494045,0.6010471766492662,0.3029284326908711,0.19944997697934963,0.4829081792905291
"frozenset({'PM10_HIGH', 'O3_HIGH'})",frozenset({'PM2.5_HIGH'}),0.2379037707798351,0.3513988376807677,0.1370117583457224,0.5759125124272121,1.6389141074803624,1.0,0.053412649813816576,1.529404147317386,0.511536315804004,0.3029284326908711,0.3461505895913612,0.4829081792905291
frozenset({'NO2_HIGH'}),frozenset({'PM2.5_HIGH'}),0.38106500878497096,0.3513988376807677,0.2187119881065009,0.573949281787551,1.6333272061331114,1.0,0.08480618693865055,1.5223566927442875,0.6264838970049137,0.4257152252548504,0.3431237207639279,0.5981765639706986
frozenset({'PM2.5_HIGH'}),frozenset({'NO2_HIGH'}),0.3513988376807677,0.38106500878497096,0.2187119881065009,0.6224038461538461,1.6333272061331112,1.0,0.08480618693865055,1.6391453803504716,0.5978293407655767,0.4257152252548504,0.3899259870493083,0.5981765639706986
frozenset({'PM10_HIGH'}),"frozenset({'NO2_HIGH', 'PM2.5_HIGH'})",0.3944451952966617,0.2187119881065009,0.1403230166238681,0.3557478156587288,1.6265583735880949,1.0,0.054053123761478195,1.2127052587215408,0.6361190919809206,0.296770044304702,0.17539732527075805,0.49866797549505265
"frozenset({'NO2_HIGH', 'PM2.5_HIGH'})",frozenset({'PM10_HIGH'}),0.2187119881065009,0.3944451952966617,0.1403230166238681,0.6415881353313765,1.6265583735880946,1.0,0.054053123761478195,1.6895501081227193,0.4930383759236285,0.296770044304702,0.40812646207272724,0.49866797549505265
"frozenset({'NO2_HIGH', 'PM2.5_HIGH'})",frozenset({'O3_HIGH'}),0.2187119881065009,0.4500270306798216,0.15586565752128667,0.7126525567742933,1.5835772257896228,1.0,0.05743935093963762,1.9139650701126432,0.47168050549826857,0.3039067132222149,0.477524425280579,0.5294999400734595
frozenset({'O3_HIGH'}),"frozenset({'NO2_HIGH', 'PM2.5_HIGH'})",0.4500270306798216,0.2187119881065009,0.15586565752128667,0.3463473233726256,1.5835772257896226,1.0,0.05743935093963762,1.195264763428614,0.670066248610706,0.3039067132222149,0.1633652805663723,0.5294999400734595
frozenset({'O3_HIGH'}),"frozenset({'NO2_HIGH', 'PM10_HIGH'})",0.4500270306798216,0.23310582511150155,0.16579943235572375,0.368421052631579,1.5804884003021036,1.0,0.060895510046624926,1.2142491102401225,0.6678222557684376,0.3204885376526681,0.17644576259788572,0.5398417772217179
"frozenset({'NO2_HIGH', 'PM10_HIGH'})",frozenset({'O3_HIGH'}),0.23310582511150155,0.4500270306798216,0.16579943235572375,0.7112625018118568,1.5804884003021034,1.0,0.060895510046624926,1.904750760712807,0.4789242127656897,0.3204885376526681,0.47499692840349655,0.5398417772217179
